id,dataset_id,url,external_link_type_id,description
95,243,http://files.pacb.com/datasets/primary-analysis/e-coli-k12/1.3.0/e-coli-k12-mg1655-raw-reads-1.3.0.tgz,1,
96,243,ftp://webdata:webdata@ussd-ftp.illumina.com/Data/SequencingRuns/MG1655/MiSeq_Ecoli_MG1655_110721_PF.bam,1,
97,243,https://github.com/PacificBiosciences/DevNet/wiki/Saccharomyces-cerevisiae-W303-Assembly-Contigs,1,
98,241, https://github.com/alachins/omegaplus,1,
99,241,http://pop-gen.eu/wordpress/software,1,
100,250,http://www.med.unc.edu/pgc/results#MDD,1,
101,252,http://ryanlab.whitney.ufl.edu/genomes/,1,
102,255,http://www.southgreen.fr/content/gigwa,1,
103,256,http://dx.doi.org/10.17504/protocols.io.ew9bfh6,3,
104,258,http://keemei.qiime.org,1,
105,258,https://github.com/biocore/Keemei,1,
106,254, http://dx.doi.org/10.17504/protocols.io.exwbfpe,3,
107,261,https://github.com/svm-zhang/AGOUTI,1,
108,262,https://github.com/mdcao/npAnalysis,1,
109,262,https://github.com/mdcao/japsa,1,
110,264,https://github.com/CSB5/INCSeq,1,
111,265,https://github.com/gtamazian/chromosomer,1,
112,269,http://nanobio.hpcf.upr.edu/blastkit/www/,1,
113,269,https://github.com/dib-lab/2016-paper-p_asteroides,1,
114,272,http://www.cellimagelibrary.org/pages/project_20269,1,
115,273,https://github.com/ZhangLabSZ/RES-Scanner,1,
116,276,https://github.com/Brainhack-Proceedings-2015,1,
117,276,http://brainhack.org,1,
118,278,http://github.com/r03ert0/brainspell-brainhack,1,
119,279,http://github.com/nidata/nidata,1,
120,280,https://bids.neuroimaging.io,1,
121,281,http://github.com/ccraddock/afni,1,
122,282,http://github.com/aces/DICOM_anonymizer,1,
123,283,http://github.com/sderygithub/Clubs-of-Science,1,
124,284,http://www2.hawaii.edu/%7Eweiran/NiftyView.html,1,
125,285,https://github.com/ericearl/hcp2nipype-hack2015/,1,
126,286,https://github.com/carolFrohlich/brain-orchestra,1,
127,287,https://github.com/benfulcher/hctsa_python,1,
128,288,https://github.com/nipy/nipype,1,
129,288,http://cbrain.mcgill.ca,1,
130,289,https://github.com/duecredit/duecredit,1,
131,290,https://github.com/nekrum/DogVest,1,
132,291,http://github.com/npnl/LI_FSL,1,
133,292,https://github.com/hjmjohnson,1,
134,293,https://github.com/npnl/ENIGMA-Wrapper-Scripts,1,
135,294,http://github.com/margulies/surfdist,1,
136,295,https://github.com/DaveOC90/INDI-Organization-Scripts,1,
137,296,https://github.com/brainhack-poa/fmri-plan-recongnition,1,
138,297,https://github.com/pfannmoe/Pfan_HBM_SOBF,1,
139,298,https://github.com/incf-nidash,1,
140,298,http://nidm-api.readthedocs.org,1,
141,298,https://github.com/incf-nidash/nidm-api,1,
142,298,https://github.com/incf-nidash/nidm-query,1,
143,299,https://github.com/lsa-pucrs/neuroview,1,
144,300,https://github.com/villalonreina,1,
145,302,http://www.preprocessed-connectomes-project.org/NFB_skullstripped,1,
146,302,https://github.com/preprocessed-connectomes-project/NFB_skullstripped,1,
147,303,http://personalgenomes.org/,1,
148,303,https://my.pgp-hms.org/,1,
149,304,http://iridl.ldeo.columbia.edu/maproom/Health/index.html,1,
150,304,http://datoteca.ole2.org/maproom/Sala_de_Salud-Clima/index.html.es,1,
151,306, https://github.com/gigascience/paper-xiong2016,1,
152,307,https://github.com/narechan/clusterflock,1,
153,307,https://hub.docker.com/r/narechan/clusterflock-0.1/,1,
154,307,https://youtu.be/ELZTVOiqKn8,1,
155,308,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0147200,1,
156,312,www.gensc.org,1,
157,319,http://bauhiniagenome.hk/,1,
