id,dataset_id,message,created_at,model,model_id,url
693,254,preliminary_platanus_assembly_pig_unwashed.fa: additional file attribute added,2016-05-31 03:41:15.533167,FileAttributes,278,/adminFile/update/id/93126
694,254,Additional file preliminary_platanus_assembly_pig_washed1.fa added,2016-05-31 03:43:18.22542,File,93127,/adminFile/update/id/93127
695,254,preliminary_platanus_assembly_pig_washed1.fa: additional file attribute added,2016-05-31 03:44:19.544321,FileAttributes,279,/adminFile/update/id/93127
696,254,preliminary_platanus_assembly_pig_washed1.fa: additional file attribute added,2016-05-31 03:44:19.5597,FileAttributes,280,/adminFile/update/id/93127
697,254,Additional file preliminary_platanus_assembly_pig_washed2.fa added,2016-05-31 03:50:47.211386,File,93128,/adminFile/update/id/93128
698,254,preliminary_platanus_assembly_pig_washed2.fa: additional file attribute added,2016-05-31 03:51:50.481003,FileAttributes,281,/adminFile/update/id/93128
699,254,preliminary_platanus_assembly_pig_washed2.fa: additional file attribute added,2016-05-31 03:51:50.491649,FileAttributes,282,/adminFile/update/id/93128
700,254,Additional file preliminary_platanus_assembly_pig_washed3.fa added,2016-05-31 03:52:20.6556,File,93129,/adminFile/update/id/93129
701,254,preliminary_platanus_assembly_pig_washed3.fa: additional file attribute added,2016-05-31 03:53:23.814997,FileAttributes,283,/adminFile/update/id/93129
702,254,preliminary_platanus_assembly_pig_washed3.fa: additional file attribute added,2016-05-31 03:53:23.826064,FileAttributes,284,/adminFile/update/id/93129
703,254,File patient_A_major_scaffold_assembly.fa updated,2016-05-31 03:54:10.21134,File,92970,/adminFile/update/id/92970
704,254,File patient_A_major_scaffold_assembly.fa updated,2016-05-31 07:47:57.089034,File,92970,/adminFile/update/id/92970
705,254,File patient_A_major_scaffold_assembly.fa updated,2016-05-31 07:51:37.752511,File,92970,/adminFile/update/id/92970
706,254,File patient_A_major_scaffold_assembly.fa updated,2016-05-31 07:53:00.34777,File,92970,/adminFile/update/id/92970
707,254,File patient_A_major_scaffold_assembly.fa updated,2016-05-31 07:54:55.773726,File,92970,/adminFile/update/id/92970
708,254,File patient_A_major_scaffold_assembly.fa updated,2016-05-31 07:58:33.049283,File,92970,/adminFile/update/id/92970
709,254,File patient_A_major_scaffold_assembly.fa updated,2016-05-31 07:59:26.516596,File,92970,/adminFile/update/id/92970
710,254,File patient_A_major_scaffold_assembly.fa updated,2016-05-31 08:05:55.982112,File,92970,/adminFile/update/id/92970
712,254,Manuscript Link updated : 10.1186/s13742-016-0129-2,2016-06-03 09:05:31.967211,manuscript,338,""
722,261,Dataset publish,2016-06-26 16:00:42.686916,dataset,261,""
729,210,Relationship removed : DOI 100193,2016-07-12 16:26:01.229913,relation,90,""
730,261,Manuscript Link added : 10.1186/s13742-016-0136-3,2016-07-21 02:47:16.982033,manuscript,345,""
733,264,Dataset publish,2016-07-29 01:30:19.458683,dataset,264,""
735,20,Relationship added : DOI 100211,2016-08-03 06:39:50.313808,relation,96,""
740,40,File 110112_I199_FC819BBABXX_L3_HUMiqvDBTDWAAPE_2.fq.gz removed,2016-08-18 08:55:50.484827,File,12287,""
741,40,File removed : 110112_I199_FC819BBABXX_L3_HUMiqvDBTDWAAPE_2.fq.gz,2016-08-18 08:55:50.495903,file,12287,""
751,264,Manuscript Link added : 10.1186/s13742-016-0140-7,2016-08-23 10:24:57.922578,manuscript,354,""
752,264,Manuscript Link added : 10.1186/s13742-016-0140-7,2016-08-23 10:24:58.290795,manuscript,355,""
764,304,Dataset publish,2016-09-20 06:26:58.387074,dataset,304,""
771,304,Manuscript Link added : 10.1186/s13742-016-0146-1,2016-10-07 09:13:00.830016,manuscript,361,""
