id,attribute_name,definition,model,structured_comment_name,value_syntax,allowed_units,occurance,ontology_link,note
25,body habitat,original body habitat where the sample was obtained from,GSC_MIxS_v3,body_habitat,body habitat name,"","","",""
26,body-mass index,"body mass index, calculated as weight/(height)squared",GSC_MIxS_v3,body_mass_index,measurement value,"","","",""
27,body product,"substance produced by the body, e.g. stool, mucus, where the sample was obtained from",GSC_MIxS_v3,body_product,body product name,"","","",""
28,body site,name of body site where the sample was obtained from http://bioportal.bioontology.org/visualize/44507,GSC_MIxS_v3,body_site,body site name,"","","",""
29,bromide,concentration of bromide ,GSC_MIxS_v3,bromide,measurement value,"","","",""
30,calcium,concentration of calcium,GSC_MIxS_v3,calcium,measurement value,"","","",""
31,carbon dioxide,carbon dioxide (gas) amount or concentration at the time of sampling,GSC_MIxS_v3,carb_dioxide,measurement value,"","","",""
32,carbon monoxide,carbon monoxide (gas) amount or concentration at the time of sampling,GSC_MIxS_v3,carb_monoxide,measurement value,"","","",""
33,carbon/nitrogen ratio,ratio of amount or concentrations of carbon to nitrogen,GSC_MIxS_v3,carb_nitro_ratio,measurement value,"","","",""
34,chemical administration,"list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v1.72), please see http://bioportal.bioontology.org/visualize/44603",GSC_MIxS_v3,chem_administration,CHEBI;timestamp,"","",http://bioportal.bioontology.org/visualize/44603,""
35,chemical mutagen,"treatment involving use of mutagens; should include the name of mutagen, amount administered, treatment duration, interval and total experimental duration; can include multiple mutagen regimens",GSC_MIxS_v3,chem_mutagen,mutagen name;mutagen amount;treatment duration;interval;experimental duration,"","","",""
36,chemical oxygen demand,a measure of the relative oxygen-depletion effect of a waste contaminant,GSC_MIxS_v3,chem_oxygen_dem,measurement value,"","","",""
37,chloride,concentration of chloride ,GSC_MIxS_v3,chloride,measurement value,"","","",""
38,chlorophyll,concentration of chlorophyll,GSC_MIxS_v3,chlorophyll,measurement value,"","","",""
39,climate environment,treatment involving an exposure to a particular climate; can include multiple climates,GSC_MIxS_v3,climate_environment,climate name;treatment duration;interval;experimental duration,"","","",""
40,history/crop rotation,"whether or not crop is rotated, and if yes, rotation schedule",GSC_MIxS_v3,crop_rotation,crop rotation status;schedule,"","","",""
41,current land use,present state of sample site,GSC_MIxS_v3,cur_land_use,enumeration,"","","",""
42,current vegetation,"vegetation classification from one or more standard classification systems, or agricultural crop",GSC_MIxS_v3,cur_vegetation,current vegetation type,"","","",""
43,current vegetation method,reference or method used in vegetation classification ,GSC_MIxS_v3,cur_vegetation_meth,"PMID,DOI or url","","","",""
44,current,measurement of current ,GSC_MIxS_v3,current,measurement value,"","","",""
45,density,density of sample,GSC_MIxS_v3,density,measurement value,"","","",""
46,depth,"Depth is defined as the vertical distance below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples.",GSC_MIxS_v3,depth,measurement value,"","","",""
47,dermatology disorder,history of dermatology disorders; can include multiple disorders,GSC_MIxS_v3,dermatology_disord,disorder name,"","","",""
48,diet,"type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types",GSC_MIxS_v3,diet,diet type,"","","",""
49,major diet change in last six months,"specification of major diet changes in the last six months, if yes the change should be specified",GSC_MIxS_v3,diet_last_six_month,diet change;current diet,"","","",""
50,diether lipids,concentration of diether lipids; can include multiple types of diether lipids,GSC_MIxS_v3,diether_lipids,diether lipid name;measurement value,"","","",""
51,disease status,"list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology), other hosts are free text. For DO terms, please see http://gemina.svn.sourceforge.net/viewvc/gemina/trunk/Gemina/ontologies/gemina_symptom.obo?view=log",GSC_MIxS_v3,disease_stat,disease name or DO,"","",http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
52,dissolved carbon dioxide,concentration of dissolved carbon dioxide,GSC_MIxS_v3,diss_carb_dioxide,measurement value,"","","",""
53,dissolved hydrogen,concentration of dissolved hydrogen,GSC_MIxS_v3,diss_hydrogen,measurement value,"","","",""
54,dissolved inorganic carbon,dissolved inorganic carbon concentration,GSC_MIxS_v3,diss_inorg_carb,measurement value,"","","",""
55,dissolved inorganic nitrogen,concentration of dissolved inorganic nitrogen ,GSC_MIxS_v3,diss_inorg_nitro,measurement value,"","","",""
56,dissolved inorganic phosphorus,concentration of dissolved inorganic phosphorus ,GSC_MIxS_v3,diss_inorg_phosp,measurement value,"","","",""
57,dissolved organic carbon,concentration of dissolved organic carbon,GSC_MIxS_v3,diss_org_carb,measurement value,"","","",""
58,dissolved organic nitrogen,dissolved organic nitrogen concentration measured as; total dissolved nitrogen - NH4 - NO3 - NO2,GSC_MIxS_v3,diss_org_nitro,measurement value,"","","",""
59,dissolved oxygen,concentration of dissolved oxygen,GSC_MIxS_v3,diss_oxygen,measurement value,"","","",""
60,dominant hand,dominant hand of the subject,GSC_MIxS_v3,dominant_hand,enumeration,"","","",""
61,douche,date of most recent douche,GSC_MIxS_v3,douche,timestamp,"","","",""
62,drainage classification,drainage classification from a standard system such as the USDA system,GSC_MIxS_v3,drainage_class,enumeration,"","","",""
63,drug usage,any drug used by subject and the frequency of usage; can include multiple drugs used,GSC_MIxS_v3,drug_usage,drug name;frequency,"","","",""
64,dry mass,measurement of dry mass,GSC_MIxS_v3,dry_mass,measurement value,"","","",""
65,efficiency percent,percentage of volatile solids removed from the anaerobic digestor,GSC_MIxS_v3,efficiency_percent,measurement value,"","","",""
66,elevation,The elevation of the sampling site as measured by the vertical distance from mean sea level.,GSC_MIxS_v3,elev,measurement value,"","","",""
67,emulsions,"amount or concentration of substances such as paints, adhesives, mayonnaise, hair colorants, emulsified oils, etc.; can include multiple emulsion types",GSC_MIxS_v3,emulsions,emulsion name;measurement value,"","","",""
68,history/extreme events,unusual physical events that may have affected microbial populations,GSC_MIxS_v3,extreme_event,date,"","","",""
69,extreme_unusual_properties/salinity,measured salinity ,GSC_MIxS_v3,extreme_salinity,measurement value,"","","",""
70,family relationship,relationships to other hosts in the same study; can include multiple relationships,GSC_MIxS_v3,family_relationship,relationship type;arbitrary identifier,"","","",""
71,soil_taxonomic/FAO classification,soil classification from the FAO World Reference Database for Soil Resources,GSC_MIxS_v3,fao_class,enumeration,"","","",""
72,fertilizer regimen,"information about treatment involving the use of fertilizers; should include the name fertilizer, amount administered, treatment duration, interval and total experimental duration; can include multiple fertilizer regimens",GSC_MIxS_v3,fertilizer_regm,fertilizer name;fertilizer amount;treatment duration;interval;experimental duration,"","","",""
73,history/fire,historical and/or physical evidence of fire,GSC_MIxS_v3,fire,date,"","","",""
74,history/flooding,historical and/or physical evidence of flooding,GSC_MIxS_v3,flooding,date,"","","",""
75,amniotic fluid/foetal health status,"specification of foetal health status, should also include abortion",GSC_MIxS_v3,foetal_health_stat,health status,"","","",""
76,fungicide regimen,"information about treatment involving use of fungicides; should include the name of fungicide, amount administered, treatment duration, interval and total experimental duration; can include multiple fungicide regimens",GSC_MIxS_v3,fungicide_regm,fungicide name;fungicide amount;treatment duration;interval;experimental duration,"","","",""
77,gaseous environment,"use of conditions with differing gaseous environments; should include the name of gaseous compound, amount administered, treatment duration, interval and total experimental duration; can include multiple gaseous environment regimens",GSC_MIxS_v3,gaseous_environment,gaseous compound name;gaseous compound amount;treatment duration;interval;experimental duration,"","","",""
78,gaseous substances,"amount or concentration of substances such as hydrogen sulfide, carbon dioxide, methane, etc.; can include multiple substances",GSC_MIxS_v3,gaseous_substances,gaseous substance name;measurement value,"","","",""
79,gastrointestinal tract disorder,history of gastrointestinal tract disorders; can include multiple disorders ,GSC_MIxS_v3,gastrointest_disord,disorder name,"","","",""
80,genotype,observed genotype,GSC_MIxS_v3,genotype,genotype,"","","",""
81,amniotic fluid/gestation state,specification of the gestation state,GSC_MIxS_v3,gestation_state,gestation state,"","","",""
82,glucosidase activity,measurement of glucosidase activity,GSC_MIxS_v3,glucosidase_act,measurement value,"","","",""
83,gravidity,"whether or not subject is gravid, and if yes date due or date post-conception, specifying which is used",GSC_MIxS_v3,gravidity,gravidity status;timestamp,"","","",""
84,gravity,"information about treatment involving use of gravity factor to study various types of responses in presence, absence or modified levels of gravity; can include multiple treatments",GSC_MIxS_v3,gravity,gravity factor value;treatment duration;interval;experimental duration,"","","",""
85,growth hormone regimen,"information about treatment involving use of growth hormones; should include the name of growth hormone, amount administered, treatment duration, interval and total experimental duration; can include multiple growth hormone regimens",GSC_MIxS_v3,growth_hormone_regm,growth hormone name;growth hormone amount;treatment duration;interval;experimental duration,"","","",""
86,growth media,information about growth media for growing the plants or tissue cultured samples,GSC_MIxS_v3,growth_med,enumeration,"","","",""
87,gynecological disorder,history of gynecological disorders; can include multiple disorders,GSC_MIxS_v3,gynecologic_disord,gynecological disorder,"","","",""
88,extreme_unusual_properties/heavy metals,heavy metals present and concentrationsany drug used by subject and the frequency of usage; can include multiple heavy metals and concentrations,GSC_MIxS_v3,heavy_metals,heavy metal name;measurement value,"","","",""
89,extreme_unusual_properties/heavy metals method,reference or method used in determining heavy metals,GSC_MIxS_v3,heavy_metals_meth,"PMID,DOI or url","","","",""
90,height,the height of subject,GSC_MIxS_v3,height,measurement value,"","","",""
91,height or length,measurement of height or length,GSC_MIxS_v3,height_or_length,measurement value,"","","",""
92,herbicide regimen,"information about treatment involving use of herbicides; information about treatment involving use of growth hormones; should include the name of herbicide, amount administered, treatment duration, interval and total experimental duration; can include multiple regimens",GSC_MIxS_v3,herbicide_regm,herbicide name;herbicide amount;treatment duration;interval;experimental duration,"","","",""
93,HIV status,"HIV status of subject, if yes HAART initiation status should also be indicated as [YES or NO]",GSC_MIxS_v3,hiv_stat,HIV status;HAART initiation status,"","","",""
94,horizon,specific layer in the land area which measures parallel to the soil surface and possesses physical characteristics which differ from the layers above and beneath,GSC_MIxS_v3,horizon,enumeration,"","","",""
95,horizon method,reference or method used in determining the horizon,GSC_MIxS_v3,horizon_meth,"PMID,DOI or url","","","",""
96,host body temperature,core body temperature of the host when sample was collected,GSC_MIxS_v3,host_body_temp,measurement value,"","","",""
97,host color,the color of host,GSC_MIxS_v3,host_color,color,"","","",""
98,host common name,"common name of the host, e.g. human",GSC_MIxS_v3,host_common_name,common name,"","","",""
99,host growth conditions,literature reference giving growth conditions of the host,GSC_MIxS_v3,host_growth_cond,"PMID,DOI,url or free text","","","",""
100,host shape,morphological shape of host ,GSC_MIxS_v3,host_shape,shape,"","","",""
101,host subject id,"a unique identifier by which each subject can be referred to, de-identified, e.g. #131",GSC_MIxS_v3,host_subject_id,unique identifier,"","","",""
102,host taxid,"NCBI taxon id of the host, e.g. 9606",GSC_MIxS_v3,host_taxid,NCBI taxon identifier,"","","",""
103,HRT,"whether subject had hormone replacement theraphy, and if yes start date",GSC_MIxS_v3,hrt,timestamp,"","","",""
104,humidity,"amount of water vapour in the air, at the time of sampling",GSC_MIxS_v3,humidity,measurement value,"","","",""
105,humidity regimen,"information about treatment involving an exposure to varying degree of humidity; information about treatment involving use of growth hormones; should include amount of humidity administered, treatment duration, interval and total experimental duration; can include multiple regimens",GSC_MIxS_v3,humidity_regm,humidity value;treatment duration;interval;experimental duration,"","","",""
106,hysterectomy,specification of whether hysterectomy was performed,GSC_MIxS_v3,hysterectomy,hysterectomy status,"","","",""
107,IHMC ethnicity,ethnicity of the subject,GSC_MIxS_v3,ihmc_ethnicity,IHMC code or free text,"","","",""
108,IHMC medication code,can include multiple medication codes,GSC_MIxS_v3,ihmc_medication_code,IHMC code,"","","",""
109,industrial effluent percent,percentage of industrial effluents received by wastewater treatment plant,GSC_MIxS_v3,indust_eff_percent,measurement value,"","","",""
110,infra_specific_name,taxonomic information about the host below subspecies level,GSC_MIxS_v3,infra_specific_name,name,"","","",""
111,infra_specific_rank,"taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.",GSC_MIxS_v3,infra_specific_rank,rank,"","","",""
112,inorganic particles,"concentration of particles such as sand, grit, metal particles, ceramics, etc.; can include multiple particles",GSC_MIxS_v3,inorg_particles,inorganic particle name;measurement value,"","","",""
113,urine/kidney disorder,history of kidney disorders; can include multiple disorders,GSC_MIxS_v3,kidney_disord,disorder name,"","","",""
114,last meal,content of last meal and time since feeding; can include multiple values,GSC_MIxS_v3,last_meal,content;time interval,"","","",""
115,life stage,description of life stage of host,GSC_MIxS_v3,life_stage,stage,"","","",""
116,light intensity,measurement of light intensity,GSC_MIxS_v3,light_intensity,measurement value,"","","",""
117,links to additional analysis,"",GSC_MIxS_v3,link_addit_analys,"PMID,DOI or url","","","",""
118,link to classification information,link to digitized soil maps or other soil classification information,GSC_MIxS_v3,link_class_info,"PMID,DOI or url","","","",""
119,link to climate information,link to climate resource,GSC_MIxS_v3,link_climate_info,"PMID,DOI or url","","","",""
120,liver disorder,history of liver disorders; can include multiple disorders,GSC_MIxS_v3,liver_disord,disorder name,"","","",""
121,soil_taxonomic/local classification,soil classification based on local soil classification system,GSC_MIxS_v3,local_class,local classification name,"","","",""
122,soil_taxonomic/local classification method,reference or method used in determining the local soil classification ,GSC_MIxS_v3,local_class_meth,"PMID,DOI or url","","","",""
123,magnesium,concentration of magnesium,GSC_MIxS_v3,magnesium,measurement value,"","","",""
124,amniotic fluid/maternal health status,specification of the maternal health status,GSC_MIxS_v3,maternal_health_stat,health status,"","","",""
125,mean friction velocity,measurement of mean friction velocity,GSC_MIxS_v3,mean_frict_vel,measurement value,"","","",""
126,mean peak friction velocity,measurement of mean peak friction velocity,GSC_MIxS_v3,mean_peak_frict_vel,measurement value,"","","",""
127,mechanical damage,information about any mechanical damage exerted on the plant; can include multiple damages and sites,GSC_MIxS_v3,mechanical_damage,damage type;body site,"","","",""
128,medical history performed,whether full medical history was collected,GSC_MIxS_v3,medic_hist_perform,true or false,"","","",""
129,menarche,date of most recent menstruation,GSC_MIxS_v3,menarche,timestamp,"","","",""
130,menopause,date of onset of menopause,GSC_MIxS_v3,menopause,timestamp,"","","",""
131,methane,methane (gas) amount or concentration at the time of sampling,GSC_MIxS_v3,methane,measurement value,"","","",""
132,microbial biomass,"the part of the organic matter in the soil that constitutes living microorganisms smaller than 5-10 Âµm. IF you keep this, you would need to have correction factors used for conversion to the final units, which should be mg C (or N)/kg soil).",GSC_MIxS_v3,microbial_biomass,measurement value,"","","",""
133,microbial biomass method,reference or method used in determining microbial biomass,GSC_MIxS_v3,microbial_biomass_meth,"PMID,DOI or url","","","",""
134,mineral nutrient regimen,"information about treatment involving the use of mineral supplements; should include the name of mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple mineral nutrient regimens",GSC_MIxS_v3,mineral_nutr_regm,mineral nutrient name;mineral nutrient amount;treatment duration;interval;experimental duration,"","","",""
135,miscellaneous parameter,"any other measurement performed or parameter collected, that is not listed here",GSC_MIxS_v3,misc_param,parameter name;measurement value,"","","",""
136,n-alkanes,concentration of n-alkanes; can include multiple n-alkanes,GSC_MIxS_v3,n_alkanes,n-alkane name;measurement value,"","","",""
137,nitrate,concentration of nitrate,GSC_MIxS_v3,nitrate,measurement value,"","","",""
138,nitrite,concentration of nitrite,GSC_MIxS_v3,nitrite,measurement value,"","","",""
139,nitrogen,concentration of nitrogen (total),GSC_MIxS_v3,nitro,measurement value,"","","",""
140,non-mineral nutrient regimen,"information about treatment involving the exposure of plant to non-mineral nutrient such as oxygen, hydrogen or carbon; should include the name of non-mineral nutrient, amount administered, treatment duration, interval and total experimental duration; can include multiple non-mineral nutrient regimens",GSC_MIxS_v3,non_mineral_nutr_regm,non-mineral nutrient name;non-mineral nutrient amount;treatment duration;interval;experimental duration,"","","",""
141,nose/mouth/teeth/throat disorder,history of nose/mouth/teeth/throat disorders; can include multiple disorders,GSC_MIxS_v3,nose_mouth_teeth_throat_disord,disorder name,"","","",""
142,lung/nose-throat disorder,history of nose-throat disorders; can include multiple disorders,GSC_MIxS_v3,nose_throat_disord,disorder name,"","","",""
143,occupation,most frequent job performed by subject,GSC_MIxS_v3,occupation,IHMC code,"","","",""
144,organic carbon,concentration of organic carbon,GSC_MIxS_v3,org_carb,measurement value,"","","",""
145,organic matter,concentration of organic matter ,GSC_MIxS_v3,org_matter,measurement value,"","","",""
146,organic nitrogen,concentration of organic nitrogen,GSC_MIxS_v3,org_nitro,measurement value,"","","",""
147,organic particles,"concentration of particles such as faeces, hairs, food, vomit, paper fibers, plant material, humus, etc.",GSC_MIxS_v3,org_particles,particle name;measurement value,"","","",""
148,organism count,"total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts",GSC_MIxS_v3,organism_count,organism name;measurement value,"","","",""
149,other,additional relevant information,GSC_MIxS_v3,other,text,"","","",""
150,oxygenation status of sample,oxygenation status of sample,GSC_MIxS_v3,oxy_stat_samp,enumeration,"","","",""
151,oxygen,oxygen (gas) amount or concentration at the time of sampling,GSC_MIxS_v3,oxygen,measurement value,"","","",""
152,particulate organic carbon,concentration of particulate organic carbon,GSC_MIxS_v3,part_org_carb,measurement value,"","","",""
153,particulate organic nitrogen,concentration of particulate organic nitrogen,GSC_MIxS_v3,part_org_nitro,measurement value,"","","",""
154,particle classification,"particles are classified, based on their size, into six general categories:clay, silt, sand, gravel, cobbles, and boulders; should include amount of particle preceded by the name of the particle type; can include multiple values",GSC_MIxS_v3,particle_class,particle name;measurement value,"","","",""
155,perturbation,"type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types",GSC_MIxS_v3,perturbation,perturbation type name;time interval,"","","",""
156,pesticide regimen,"information about treatment involving use of insecticides; should include the name of pesticide, amount administered, treatment duration, interval and total experimental duration; can include multiple pesticide regimens",GSC_MIxS_v3,pesticide_regm,pesticide name;pesticide amount;treatment duration;interval;experimental duration,"","","",""
157,presence of pets or farm animals,"specification of presence of pets or farm animals in the environment of subject, if yes the animals should be specified; can include multiple animals present",GSC_MIxS_v3,pet_farm_animal,presence status;type of animal or pet,"","","",""
158,petroleum hydrocarbon,concentration of petroleum hydrocarbon,GSC_MIxS_v3,petroleum_hydrocarb,measurement value,"","","",""
159,pH,pH measurement,GSC_MIxS_v3,ph,measurement value,"","","",""
160,pH method,reference or method used in determining pH,GSC_MIxS_v3,ph_meth,"PMID,DOI or url","","","",""
161,pH regimen,information about treatment involving exposure of plants to varying levels of pH of the growth media; can include multiple regimen,GSC_MIxS_v3,ph_regm,measurement value;treatment duration;interval;experimental duration,"","","",""
162,phaeopigments,concentration of phaeopigments; can include multiple phaeopigments,GSC_MIxS_v3,phaeopigments,phaeopigment name;measurement value,"","","",""
163,phenotype,"phenotype of host. For Phenotypic quality Ontology (PATO) (v1.269) terms, please see http://bioportal.bioontology.org/visualize/44601",GSC_MIxS_v3,phenotype,PATO,"","",http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
164,phosphate,concentration of phosphate,GSC_MIxS_v3,phosphate,measurement value,"","","",""
165,phospholipid fatty acid,concentration of phospholipid fatty acids; can include multiple values,GSC_MIxS_v3,phosplipid_fatt_acid,phospholipid fatty acid name;measurement value,"","","",""
166,photon flux,measurement of photon flux,GSC_MIxS_v3,photon_flux,measurement value,"","","",""
167,plant body site,"name of body site that the sample was obtained from. For PO (v819) terms please see, http://bioportal.bioontology.org/visualize/42737",GSC_MIxS_v3,plant_body_site,PO,"","",http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=POhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=PATOhttp://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=DOID,""
168,plant product,"substance produced by the plant, where the sample was obtained from",GSC_MIxS_v3,plant_product,product name,"","","",""
169,pollutants,"pollutant types and, amount or concentrations measured at the time of sampling; can report multiple pollutants by entering numeric values preceded by name of pollutant",GSC_MIxS_v3,pollutants,pollutant name;measurement value,"","","",""
170,pooling of DNA extracts (if done),were multiple DNA extractions mixed? how many?,GSC_MIxS_v3,pool_dna_extracts,pooling status;measurement value,"","","",""
171,porosity,porosity of deposited sediment is volume of voids divided by the total volume of sample,GSC_MIxS_v3,porosity,measurement value,"","","",""
172,potassium,concentration of potassium ,GSC_MIxS_v3,potassium,measurement value,"","","",""
173,pre-treatment,the process of pre-treatment removes materials that can be easily collected from the raw wastewater,GSC_MIxS_v3,pre_treatment,pre-treatment type,"","","",""
174,pregnancy,date due of pregnancy,GSC_MIxS_v3,pregnancy,timestamp,"","","",""
175,pressure,"pressure to which the sample is subject, in atmospheres",GSC_MIxS_v3,pressure,measurement value,"","","",""
176,history/previous land use,previous land use and dates,GSC_MIxS_v3,previous_land_use,land use name;date,"","","",""
177,history/previous land use method,reference or method used in determining previous land use and dates,GSC_MIxS_v3,previous_land_use_meth,"PMID,DOI or url","","","",""
178,primary production,measurement of primary production ,GSC_MIxS_v3,primary_prod,measurement value,"","","",""
179,primary treatment,the process to produce both a generally homogeneous liquid capable of being treated biologically and a sludge that can be separately treated or processed,GSC_MIxS_v3,primary_treatment,primary treatment type,"","","",""
180,profile position,cross-sectional position in the hillslope where sample was collected.sample area position in relation to surrounding areas,GSC_MIxS_v3,profile_position,enumeration,"","","",""
181,lung/pulmonary disorder,history of pulmonary disorders; can include multiple disorders,GSC_MIxS_v3,pulmonary_disord,disorder name,"","","",""
182,pulse,"resting pulse, measured as beats per minute",GSC_MIxS_v3,pulse,measurement value,"","","",""
183,radiation regimen,"information about treatment involving exposure of plant or a plant part to a particular radiation regimen; should include the radiation type, amount or intensity administered, treatment duration, interval and total experimental duration; can include multiple radiation regimens",GSC_MIxS_v3,radiation_regm,radiation type name;radiation amount;treatment duration;interval;experimental duration,"","","",""
184,rainfall regimen,information about treatment involving an exposure to a given amount of rainfall; can include multiple regimens,GSC_MIxS_v3,rainfall_regm,measurement value;treatment duration;interval;experimental duration,"","","",""
185,reactor type,"anaerobic digesters can be designed and engineered to operate using a number of different process configurations, as batch or continuous, mesophilic, high solid or low solid, and single stage or multistage",GSC_MIxS_v3,reactor_type,reactor type name,"","","",""
186,redox potential,"redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential",GSC_MIxS_v3,redox_potential,measurement value,"","","",""
187,respirable particulate matter,"concentration of substances that remain suspended in the air, and comprise mixtures of organic and inorganic substances (PM10 and PM2.5); can report multiple PM's by entering numeric values preceded by name of PM",GSC_MIxS_v3,resp_part_matter,particulate matter name;measurement value,"","","",""
188,salinity,salinity measurement,GSC_MIxS_v3,salinity,measurement value,"","","",""
189,extreme_unusual_properties/salinity method,reference or method used in determining salinity,GSC_MIxS_v3,salinity_meth,"PMID,DOI or url","","","",""
190,salt regimen,"information about treatment involving use of salts as supplement to liquid and soil growth media; should include the name of salt, amount administered, treatment duration, interval and total experimental duration; can include multiple salt regimens",GSC_MIxS_v3,salt_regm,salt name;salt amount;treatment duration;interval;experimental duration,"","","",""
191,sample salinity,"salinity of sample, i.e. measure of total salt concentration",GSC_MIxS_v3,samp_salinity,measurement value,"","","",""
192,sample storage duration,duration for which sample was stored,GSC_MIxS_v3,samp_store_dur,time interval,"","","",""
193,sample storage location,"location at which sample was stored, usually name of a specific freezer/room",GSC_MIxS_v3,samp_store_loc,location name,"","","",""
194,sample storage temperature,"temperature at which sample was stored, e.g. -80",GSC_MIxS_v3,samp_store_temp,measurement value,"","","",""
195,sample weight for DNA extraction,weight (g) of soil processed,GSC_MIxS_v3,samp_weight_dna_ext,measurement value,"","","",""
196,seasonal environment,"treatment involving an exposure to a particular season (e.g. winter, summer, rabi, rainy etc.)",GSC_MIxS_v3,season_environment,seasonal environment name;treatment duration;interval;experimental duration,"","","",""
197,secondary treatment,the process for substantially degrading the biological content of the sewage ,GSC_MIxS_v3,secondary_treatment,secondary treatment type,"","","",""
198,sediment type,information about the sediment type based on major constituents,GSC_MIxS_v3,sediment_type,enumeration,"","","",""
199,sewage type,type of wastewater treatment plant as municipial or industrial,GSC_MIxS_v3,sewage_type,sewage type name,"","","",""
