id,dataset_id,is_primary,link,description
101,57,t,SRA:ERP002294,
102,58,t,SRA:ERP002324,
103,58,t,SRA:SRA026860,
104,58,t,SRA:ERP002294,
105,59,t,SRA:ERP002324,
106,59,t,SRA:ERP002294,
107,60,t,ENA:ERS222880,
108,60,t,ENA:ERP002324,
109,61,t,PeptideAtlas:PASS00265,
110,61,t,ProteomeCentral:PXD000313,
111,62,t,SRA:SRA065216,
112,63,t,SRA:SRP020009,
113,64,t,SRA:SRP019918,
114,65,t,SRA:SRP020010,
115,69,t,AE:E-MTAB-1859,
116,69,t,ENA:ERP003841,
118,69,f,BOLD:10.5883/DS-EUPCAV,
119,71,t,GEO:GSM1048080,
120,71,t,SRA:SRS378032,
121,72,t,GEO:GSM1048081,
122,72,t,SRA:SRS378033,
123,73,t,SRA:SRS374114,
124,69,t,http://morphosource.org/index.php/Detail/SpecimenDetail/Show/specimen_id/514,
125,69,t,http://www.morphbank.net/Browse/ByImage/?tsn=999021821,
126,76,t,SRA:SRP009062,
127,76,f,SRA:SRP009200,
128,76,f,GEO:GSE33300,
129,78,t,BioProject:PRJNA168071,
130,79,t,BioProject:PRJNA159791,
131,80,t,BioProject:PRJNA46621,
132,80,f,BioProject:PRJNA194464,
133,80,f,GEO:GSE22967,
134,82,t,BioProject:PRJNA232959,
135,82,t,SRA:SRP035853,
136,83,t,BioProject:PRJNA232572,
137,83,t,SRA:SRP035852,
138,84,t,BioProject:PRJNA212866,
139,84,t,SRA:SRP028275,
140,85,t,BioProject:PRJNA202089,
141,85,t,SRA:SRP026688,
142,86,t,BioProject:PRJNA212867,
143,86,t,SRA:SRP028286,
144,87,t,BioProject:PRJNA212867,
145,87,t,SRA:SRP028286,
146,88,t,BioProject:PRJNA212869,
147,88,t,SRA:SRP028317,
148,89,t,BioProject:PRJNA212872,
149,89,t,SRA:SRP028393,
150,90,t,BioProject:PRJNA212873,
151,90,t,SRA:SRP028409,
152,91,t,BioProject:PRJNA212874,
153,91,t,SRA:SRP028625,
154,92,t,BioProject:PRJNA212875,
155,92,t,SRA:SRP028745,
156,93,t,BioProject:PRJNA212876,
157,93,t,SRA:SRP028753,
158,94,t,BioProject:PRJNA212877,
159,94,t,SRA:SRP028832,
160,95,t,BioProject:PRJNA212878,
161,95,t,SRA:SRP028834,
162,96,t,BioProject:PRJNA212879,
163,96,t,SRA:SRP028839,
164,97,t,BioProject:PRJNA212887,
165,97,t,SRA:SRP028845,
166,98,t,BioProject:PRJNA212888,
167,98,t,SRA:SRP028883,
168,99,t,BioProject:PRJNA212889,
169,99,t,SRA:SRP028884,
170,100,t,BioProject:PRJNA212890,
171,100,t,SRA:SRP028913,
172,101,t,BioProject:PRJNA212891,
173,101,t,SRA:SRP028950,
174,102,t,BioProject:PRJNA212892,
175,102,t,SRA:SRP028965,
176,103,t,BioProject:PRJNA212893,
177,103,t,SRA:SRP029147,
178,104,t,BioProject:PRJNA212894,
179,104,t,SRA:SRP029180,
180,105,t,BioProject:PRJNA212895,
181,105,t,SRA:SRP029187,
182,106,t,BioProject:PRJNA212896,
183,106,t,SRA:SRP029203,
184,107,t,BioProject:PRJNA212897,
185,107,t,SRA:SRP029206,
186,108,t,BioProject:PRJNA212898,
187,108,t,SRA:SRP029278,
188,109,t,BioProject:PRJNA212899,
189,109,t,SRA:SRP029309,
190,110,t,BioProject:PRJNA212900,
191,110,t,SRA:SRP029311,
192,111,t,BioProject:PRJNA212901,
193,111,t,SRA:SRP029331,
194,112,t,BioProject:PRJNA212902,
195,112,t,SRA:SRP029342,
196,113,t,BioProject:PRJNA212903,
197,113,t,SRA:SRP029344,
198,114,t,BioProject:PRJNA212904,
199,114,t,SRA:SRP029345,
200,115,t,BioProject:PRJNA212905,
201,115,t,SRA:SRP029346,
202,116,t,BioProject:PRJNA212906,
203,116,t,SRA:SRP029347,
204,117,t,BioProject:PRJNA212908,
205,117,t,SRA:SRP029348,
206,118,t,BioProject:PRJNA212909,
207,118,t,SRA:SRP029349,
208,119,t,BioProject:PRJNA175930,
209,119,t,BioProject:PRJNA179234,
210,120,t,BioProject:PRJNA175619,
211,121,t,BioProject:PRJNA215016,
212,122,t,BioProject:PRJNA78271,
213,122,f,SRA:SRP006371,
214,123,t,BioProject:PRJNA82769,
215,124,t,SRA:SRS431817,
216,125,t,BioProject:PRJNA68161,
217,126,t,SRA:SRP012150,
218,126,t,BioProject:PRJNA158393,
219,127,t,BioProject:PRJNA157875,
220,128,t,SRA:SRP014658,
221,129,t,BioProject:PRJNA104937,
222,129,t,SRA:SRP011574,
223,130,t,BioProject:PRJNA72695,
224,131,t,BioProject:PRJNA169406,
225,132,t,BioProject:PRJNA68233,
226,132,f,DRA:DRA000567,
227,132,f,DRA:DRA000639,
228,52,t,ProteomeXchange:PXD000264,
231,27,t,ENA:PRJNA210951,
232,27,f,ENA:SRA092289,
233,27,f,SRA:SRA092289,
234,141,f,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:24804,
235,141,f,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:24805,
236,141,f,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:95557,
237,141,f,http://mczbase.mcz.harvard.edu/guid/MCZ:IZ:95901,
238,142,t,ENA:PRJEB6180,
239,138,t,BioProject:PRJNA237821,
240,138,t,SRA:SRP038924,
241,143,f,ERA:ERP004241,
242,147,t,SAMPLE:SAMN00115879,
243,147,t,SAMPLE:SAMN02898152,
244,147,t,SAMPLE:SAMN02795853,
245,147,f,ENA:SRP002335,
246,70,f,ENA:ERP000108,
247,70,f,ENA:ERP002061,
248,70,f,ENA:ERP003612,
249,70,f,ENA:ERP004605,
250,70,f,ENA:SRP002163,
251,70,f,ENA:SRP011011,
252,70,f,ENA:SRP008047,
253,151,f,GEO:GSE49700,
254,149,t, GitHub:wilfriedguiblet/smilefinder,
255,157,f,SRA:SRP045691,
256,157,f,GEO:GSE59869,
257,156,f,SRA:SRS687913,
259,154,f,ENA:ERP007108,
260,165,t,PROJECT:PRJNA162735,
261,166,t,PROJECT:PRJNA162735,
262,165,t,SAMPLE:SAMN03102602,
263,166,t,SAMPLE:SAMN02981418,
264,164,t,SAMPLE:SAMN03102901,
265,164,t,PROJECT:PRJNA162735 ,
266,170,f,EGA:EGAS00001000981,
267,177,t,SRA:SRP050588,
268,177,f,SRA:SRP017032,
269,182,t,Sample:SRP039971,
270,182,t,Sample:SRP039977,
271,182,f,SRA:SRP022157,
272,183,t,GitHub:gigascience/paper-zaritsky2015,
273,152,f,GEO:GSE55759,
274,186,t,PROJECT:PRJNA243398,
275,186,f,SRA:SRA151427,
276,188,t,ENA                 :ERP005989,
279,187,t,MetaboLights:MTBLS176,
280,191,t,ENA:ERP009678 ,
281,191,t,BioProject: PRJEB8656 ,
282,192,t,BioProject: PRJNA259566 ,
283,195,t,SRA:SRP052050 ,
284,196,t,BioProject:PRJNA173089,
285,196,t,ENA:GABD01000000,
286,196,t,ENA:GABC01000000,
287,196,t,ENA:GABF01000000,
288,196,t,ENA:GABE01000000,
289,197,t,BioProject:PRJNA177647,
290,202,t,ENA:ERP008729,
291,202,t,BioProject:PRJEB7774,
292,204,t,SRA:SRA269060,
293,206,t,BioProject:PRJNA267737,
294,208,t,BioProject: PRJEB8813,
295,210,t,BioProject:PRJNA289433,
296,211,t,BioProject:PRJNA259570,
298,216,t,PROJECT:PRJNA176557,
299,216,t,PROJECT:PRJNA256210,
300,219,t,MetaboLights:MTBLS146,
301,219,t,MetaboLights:MTBLS79,
302,220,f,ENA:ERP006059,
303,221,t,BioProject:PRJEB5206,
304,225,t,SRA:SRP055042,
305,228,t,ENA:ERP012947,
306,232,t,GEO:GSE67856,
307,232,t,GEO:GSE71804,
308,233,t,GEO:GSE62010,
309,233,t,GEO:GSE62011,
310,233,t,GEO:GSE62017,
311,234,t,BioProject:PRJEB10044,
312,235,t,BioProject:PRJNA287594,
313,231,t,BioProject:PRJNA301652,
314,238,t,EGA:EGAS00001001487,
315,239,t,BioProject:PRJEB8730,
316,240,t,BioProject:PRJNA284294,
317,240,t,BioProject:PRJNA238835,
318,240,t,BioProject:PRJNA210219,
319,240,t,BioProject:PRJNA210220,
320,242,t,BioProject:PRJNA294216,
321,243,f,ENA:ERP000546,
322,243,f,SRA:SRR567755,
324,244,t,BioProject:PRJNA305216 ,
325,245,t,BioProject:PRJEB10587,
326,82,t,BioProject:PRJNA309350,
327,82,t,SRA:SRP068698,
328,83,t,BioProject:PRJNA308878,
329,83,t,SRA:SRP068541,
330,247,t,BioProject:PRJEB11755,
331,248,t,BioProject:PRJNA290540,
332,249,t,PROJECT:PRJNA294988,
333,249,t,GENBANK:LKME00000000,
334,249,f,SRA:SRP063925,
335,250,t,ENA:PRJNA289433,
336,251,t,GitHub:https://github.com/sierraplatinum/PeakCallerBenchmarkDataSet,
337,252,t,BioProject:PRJEB10600,
338,252,t,BioProject:PRJEB10682,
339,252,t,BioProject:PRJEB10339,
340,254,t,BioProject:PRJEB12428,
341,254,f,ENA:LN874268,
342,254,f,ENA:LN874269,
343,254,f,ENA:LN874270,
344,255,f,BioProject:PRJEB6180,
345,257,f,ENA:PRJEB4992,
346,259,t,BioProject:PRJNA293973,
347,259,t,SRA:GDQN00000000,
348,261,t,SRA:SRR3031982,
349,261,t,SRA:SRR3031978,
350,261,t,SRA:SRR3031987,
351,261,t,PROJECT:PRJNA322306,
352,148,t,MetaboLights:MTBLS146,
353,262,t,BioProject:PRJEB14532,
354,263,t,BioProject:PRJNA305952,
355,264,t,BioProject:PRJEB12294,
356,267,t,BioProject:PRJNA283019,
357,269,t,ENA:PRJNA283441,
358,270,t,BioProject:PRJNA284858,
359,271,t,BioProject:PRJNA319455,
360,274,t,BioProject:PRJNA305960,
361,275,t,BioProject:PRJNA314559,
362,275,f,BioProject:PRJNA314443,
363,277,t,BioProject:PRJNA307642,
364,303,f,dbGaP:phs000905.v1.p1,
365,308,t,DOI                 :10.1371/journal.pone.0147200,
366,277,f,ENA:SRR2163235,
367,277,f,ENA:SRR1722455,
368,314,t,BioProject:PRJNA349776,
369,314,t,BioProject:PRJNA307207,
370,314,t,BioProject:PRJNA307513,
371,315,f,BioProject:PRJEB9576,
