id,dataset_id,attribute_id,value,units_id,image_id,until_date
13992,1981,455,16s rrna gene amplicons,,,
13993,1981,455,bioinformatics,,,
13994,1981,455,pipeline,,,
13995,1981,455,workflow,,,
13996,1981,455,metagenomics,,,
13997,1981,497,"",,,
14032,1976,497,"",,,
14058,1976,497,"",,,
14063,1976,497,"",,,
14086,1976,497,"",,,
14087,1976,455,network,,,
14088,1976,455,metabolism,,,
14089,1976,455,metabolite,,,
14090,1976,455,metabolomic,,,
14091,1976,497,"",,,
14144,1984,497,"",,,
14215,1984,497,"",,,
14216,1984,455,mass spectrometry imaging,,,
14217,1984,455,maldi imaging,,,
14218,1984,455,spatially resolved mass spectrometry,,,
14219,1984,455,proteomics,,,
14220,1984,455,metabolomics,,,
14221,1984,455,galaxy,,,
14222,1984,455,computational workflows,,,
14223,1984,455,reproducibility,,,
14224,1984,497,"",,,
14318,1991,497,"",,,
14324,1991,497,"",,,
14330,1991,497,"",,,
14336,1991,497,"",,,
14337,1991,455,fair data,,,
14338,1991,455,brassica rapa,,,
14339,1991,455,h3k27me3,,,
14340,1991,455,rna-seq,,,
14341,1991,455,chip-seq,,,
14342,1991,497,"",,,
14480,1996,497,"",,,
14494,1999,497,"",,,
14674,2005,497,"",,,
14705,2005,497,"",,,
14710,1999,497,"",,,
14715,1999,497,"",,,
14717,2004,497,"",,,
14719,2004,497,"",,,
14721,2004,497,"",,,
14723,2004,497,"",,,
14725,2004,497,"",,,
14727,2004,497,"",,,
14739,2007,497,"",,,
14745,2007,497,"",,,
14749,1996,497,"",,,
14755,2007,497,"",,,
14795,2005,497,"",,,
14796,2005,455,corytholoma,,,
14797,2005,455,corolla shape variations,,,
14798,2005,455,evolutionary allometry,,,
14799,2005,455,geometric morphometrics,,,
14800,2005,455,generalized procrustes analysis,,,
14801,2005,455,ligeriinae,,,
14802,2005,455,x-ray micro-computed tomography,,,
14803,2005,497,"",,,
14809,2007,497,"",,,
14810,2007,455,genome alignment,,,
14811,2007,455,comparative gene annotation,,,
14812,2007,455,ultraconserved elements,,,
14813,2007,455,enhancers,,,
14814,2007,455,mammals,,,
14815,2007,497,"",,,
14863,1996,497,"",,,
14868,1999,497,"",,,
14869,1999,455,bovine genome,,,
14870,1999,455,reference assembly,,,
14871,1999,455,cattle,,,
14872,1999,455,hereford,,,
14873,1999,497,"",,,
14888,1996,497,"",,,
14926,2004,497,"",,,
14939,1996,497,"",,,
14943,1996,497,"",,,
14970,2018,497,"",,,
14974,2018,497,"",,,
15000,2004,497,"",,,
15002,2004,497,"",,,
15009,2021,497,"",,,
15016,2021,497,"",,,
15128,2021,497,"",,,
15148,2024,497,"",,,
15224,2024,497,"",,,
15228,2004,497,"",,,
15230,2004,497,"",,,
15253,2018,497,"",,,
15254,2018,455,bacterial snp calling,,,
15255,2018,455,pipelines,,,
15256,2018,455,evaluation,,,
15257,2018,497,"",,,
15290,2024,455,gc-bias,,,
15291,2024,455,high-throughput sequencing,,,
15292,2024,455,metagenomics,,,
15293,2024,455,illumina,,,
15294,2024,455,oxford nanopore,,,
15295,2024,455,pacbio,,,
15296,2024,497,"",,,
15312,2004,497,"",,,
15318,2027,497,"",,,
15320,2004,497,"",,,
15321,2004,455,sparql,,,
15322,2004,497,"",,,
15323,1996,455,cephalopod,,,
15324,1996,455,invertebrate,,,
15325,1996,455,genome assembly,,,
15326,1996,497,"",,,
15341,2029,497,"",,,
15346,2028,497,"",,,
15376,2031,497,"",,,
15432,2027,497,"",,,
15438,2027,497,"",,,
15451,2032,497,"",,,
15457,2027,497,"",,,
15458,2027,455,color perception,,,
15459,2027,455,odor perception,,,
15460,2027,455,random forest,,,
15461,2027,455,deep belief network,,,
15462,2027,455,physicochemical features,,,
15463,2027,497,"",,,
15470,2021,497,"",,,
15471,2021,455,genome assembly,,,
15472,2021,455,pacbio long reads,,,
15473,2021,455,hawkmoth,,,
15474,2021,455,silk moth,,,
15475,2021,455,genome comparison,,,
15476,2021,455,gene annotation,,,
15477,2021,497,"",,,
15482,2028,497,"",,,
15495,2032,497,"",,,
15500,2028,497,"",,,
15505,2028,497,"",,,
15510,2028,497,"",,,
15511,2028,455,prediction,,,
15512,2028,455,interpretable model,,,
15513,2028,455,metagenomics biomarkers,,,
15514,2028,455,microbial ecosystems,,,
15515,2028,497,"",,,
15521,2029,497,"",,,
15527,2029,497,"",,,
15540,2032,497,"",,,
15550,2031,497,"",,,
15560,2031,497,"",,,
15567,2032,497,"",,,
15568,2032,455,plant phenotyping,,,
15569,2032,455,image analysis,,,
15570,2032,455,deep learning,,,
15571,2032,455,object detection,,,
15572,2032,455,fruit counting,,,
15573,2032,455,arabidopsis,,,
15574,2032,497,"",,,
15590,2029,455,odorants,,,
15591,2029,455,sensory processing,,,
15592,2029,455,olfactory bulb,,,
15593,2029,455,decision-making,,,
15594,2029,455,local field potential,,,
15595,2029,497,"",,,
15602,2034,497,"",,,
15630,2031,497,"",,,
15634,2035,497,"",,,
15653,2031,497,"",,,
15676,2035,497,"",,,
15687,2036,497,"",,,
15697,2031,497,"",,,
15698,2031,455,lymphoma,,,
15699,2031,455,dlbcl,,,
15700,2031,455,macrophage,,,
15701,2031,455,multiple immunohistochemical staining,,,
15702,2031,455,automated cell counting,,,
15703,2031,455,rof filtering,,,
15704,2031,455,floating threshold,,,
15705,2031,455,rule-based detection,,,
15706,2031,455,image dataset,,,
15707,2031,497,"",,,
15733,2037,497,"",,,
15739,2038,497,"",,,
15761,2035,497,"",,,
15762,2035,455,chinese indigenous pigs,,,
15763,2035,455,european modern pigs,,,
15764,2035,455,introgression,,,
15765,2035,455,phenotype,,,
15766,2035,455,haplotype,,,
15767,2035,497,"",,,
15768,2039,497,"",,,
15769,2039,497,"",,,
15770,2039,497,"",,,
15776,2038,497,"",,,
15777,2039,497,"",,,
15784,2034,497,"",,,
15799,2037,497,"",,,
15815,2037,455,precision agriculture,,,
15816,2037,455,morphological operators,,,
15817,2037,455,feature extraction,,,
15818,2037,455,local binary patterns,,,
15819,2037,455,contour masks,,,
15820,2037,455,plant classification,,,
15821,2037,455,computer vision,,,
15822,2037,497,"",,,
15833,2036,497,"",,,
15837,2036,497,"",,,
15841,2036,497,"",,,
15845,2036,497,"",,,
15849,2036,497,"",,,
15853,2036,497,"",,,
15854,2036,455,alignment,,,
15855,2036,455,next generation sequencing,,,
15856,2036,455,ngs,,,
15857,2036,497,"",,,
15863,2038,497,"",,,
15864,2038,455,efp browser,,,
15865,2038,455,gene atlas,,,
15866,2038,455,transcriptome,,,
15867,2038,455,kalanchoe fedtschenkoi,,,
15868,2038,455,crassulacean acid metabolism,,,
15869,2038,497,"",,,
15877,2034,455,tibetan hulless barley,,,
15878,2034,455,osmotic stress,,,
15879,2034,455,proteomics,,,
15880,2034,455,dia,,,
15881,2034,455,quantification,,,
15882,2034,455,abiotic stress,,,
15883,2034,497,"",,,
