id,submitter_id,image_id,identifier,title,description,dataset_size,ftp_site,upload_status,excelfile,excelfile_md5,publication_date,modification_date,publisher_id,token,fairnuse,curator_id,manuscript_id,handing_editor
1795,1505,702,100528,"Supporting data for ""PhenoMeNal: Processing and analysis of Metabolomics data in the Cloud""","Metabolomics is the comprehensive study of a multitude of small molecules to gain insight into an organism’s metabolism. The research field is dynamic and expanding with applications across biomedical, biotechnological and many other applied biological domains. Its computationally-intensive nature has driven requirements for open data formats, data repositories and data analysis tools. However, the rapid progress has resulted in a mosaic of independent – and sometimes incompatible – analysis methods that are difficult to connect into a useful and complete data analysis solution.<br>PhenoMeNal (Phenome and Metabolome aNalysis) is an advanced and complete solution to set up Infrastructure-as-a-Service (IaaS) that brings workflow-oriented, interoperable metabolomics data analysis platforms into the cloud. PhenoMeNal seamlessly integrates a wide array of existing open source tools which are tested and packaged as Docker containers through the project’s continuous integration process and deployed based on a kubernetes orchestration framework. It also provides a number of standardized, automated and published analysis workflows in the user interfaces Galaxy, Jupyter, Luigi and Pachyderm.<br> PhenoMeNal constitutes a keystone solution in cloud e-infrastructures available for metabolomics. PhenoMeNal is a unique and complete solution for setting up cloud e-infrastructures through easy-to-use web interfaces that can be scaled to any custom public and private cloud environment. By harmonizing and automating software installation and configuration and through ready-to-use scientific workflow user interfaces, PhenoMeNal has succeeded in providing scientists with workflow-driven, reproducible and shareable metabolomics data analysis platforms which are interfaced through standard data formats, representative datasets, versioned, and have been tested for reproducibility and interoperability. The elastic implementation of PhenoMeNal further allows easy adaptation of the infrastructure to other application areas and ‘omics research domains.",3051271168,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100528/,Published,100528newversion.xls,8a2813d3b2dd97c0b90f2bc5266c5194,2018-11-20,,3,e4YJwmCAy1alfZM8,,38,GIGA-D-18-00347,
1804,1509,845,100542,"Supporting data for ""EEG Dataset and OpenBMI Toolbox for Three BCI Paradigms: An Investigation into BCI Illiteracy""","Electroencephalography (EEG)-based brain-computer interface (BCI) systems are mainly divided into three major paradigms: motor-imagery (MI), event-related potential (ERP), and steady-state visually evoked potential (SSVEP). In this paper, we present a BCI dataset that includes the three major BCI paradigms with a large number of subjects over multiple sessions. In addition, information about the psychological and physiological conditions of BCI users was obtained using a questionnaire, and task-unrelated parameters such as resting state, artifacts, and electromyography of both arms were also recorded. We evaluated the decoding accuracies for the individual paradigms and determined performance variations across both, subjects and sessions. Furthermore, we looked for more general, severe cases of BCI illiteracy than have been previously reported in the literature.<br>
Average decoding accuracies across all subjects and sessions were 71.1% (±0.15), 96.7% (±0.05), and 95.1% (±0.09), and rates of BCI illiteracy were 53.7%, 11.1%, and 10.2% for MI, ERP, and SSVEP, respectively. Compared to the ERP and SSVEP paradigms, the MI paradigm exhibited large performance variations between both, subjects and sessions. Furthermore, we found that 27.8% (15 out of 54) of users were universally BCI literate, i.e. they were able to pro ciently perform all three paradigms. Interestingly, we found no universally illiterate BCI user, i.e. all participants were able able to control at least one type of BCI system. <br>Our EEG dataset can be utilized for a wide range of BCI-related research questions. All methods for the data analysis in this study are supported with fully open-source scripts that can aid in every step of BCI technology. Furthermore, our results support previous but disjointed  ndings on the phenomenon of BCI illiteracy.",227159826432,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100542/,Published,100542newversion.xls,23cbcfff20992ea0b9961239893c297c,2019-01-24,,3,CUAI4QjoRG51z9DX,,989,GIGA-D-18-00170,
1817,1529,858,100543,"Supporting data for ""Modelling genotypes in their microenvironment to predict single- and multi-cellular behaviour""","A cell’s phenotype is the set of observable characteristics resulting from the interaction of the genotype with the surrounding environment, determining cell behaviour. Deciphering genotype-phenotype relationships has been crucial to understand normal and disease biology. Analysis of molecular pathways has provided an invaluable tool to such understanding; however, it does typically not consider the physical microenvironment, which is a key determinant of phenotype. In this study, we present a novel modelling framework that enables to study the link between genotype, signalling networks and cell behaviour in a 3D  microenvironment. To achieve this we bring together Agent Based Modelling, a powerful computational modelling technique, and gene networks. This combination allows biological hypotheses to be tested in a controlled stepwise fashion, and it lends itself naturally to model a heterogeneous population of cells acting and evolving in a dynamic microenvironment, which is needed to predict the evolution of complex multi-cellular dynamics. Importantly, this  enables modelling co-occurring intrinsic perturbations, such as mutations, and extrinsic perturbations, such as nutrients availability, and their interactions. Using cancer as a model system, we illustrate the how this framework delivers a unique opportunity to identify determinants of single-cell behaviour, while uncovering emerging properties of multi-cellular growth.",2118246400,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100543/,Published,100543newversion.xls,11867a06b50e6fd2afc681e95fb254fb,2019-01-16,,3,kEUqQTWv94lNhX6S,,988,GIGA-D-18-00246,
1838,1592,1602,100561,"Supporting data for ""Combinatorial Detection of Conserved Alteration Patterns for Identifying Cancer Subnetworks""","Advances in large scale tumor sequencing have lead to an understanding that there are combinations of genomic and transcriptomic alterations specific to tumor types, shared across many patients. Unfortunately, computational identification of functionally meaningful and recurrent alteration patterns within gene/protein interaction networks has proven to be challenging. We introduce a novel combinatorial method, cd-CAP, for simultaneous detection of connected subnetworks of an interaction network where genes exhibit conserved alteration patterns across tumor samples. Our method differentiates distinct alteration types associated with each gene (rather than relying on binary information of a gene being altered or not), and simultaneously detects multiple alteration profile conserved subnetworks. In a number of The Cancer Genome Atlas (TCGA) data sets, cd-CAP identified large biologically significant subnetworks with conserved alteration patterns, shared across many tumor samples.",5391360,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100561/,Published,100561newversion.xls,c3ea388b3d28606f0daf413ade8acf1d,2019-02-05,2019-02-13,3,jN9HmhiAaex2qIdV,,988,GIGA-D-18-00320,
1848,1602,1612,100570,"Supporting data for ""An efficient and improved laboratory workflow and tetrapod database for larger scale eDNA studies""","The use of environmental DNA, eDNA, for species detection via metabarcoding is growing rapidly and now, even terrestrial mammals can be monitored via invertebrate-derived DNA or iDNA from hematophagous invertebrates. We present a co-designed lab workflow and bioinformatic pipeline to mitigate the two most important risks of e/iDNA: sample contamination and taxonomic mis-assignment. These risks arise from the need for amplification to detect the trace amounts of DNA and the necessity of using short target regions due to DNA degradation. Here we present a high-throughput laboratory workflow that minimises these risks via a three-step strategy: (1) each sample is sequenced for two PCR replicates from each of two extraction replicates; (2) we use a ‘twin-tagging,’ two-step PCR protocol; (3) and a multi-marker approach targeting three mitochondrial loci: 12S, 16S and CytB. As a test, 1532 leeches were analysed from Sabah, Malaysian Borneo. Twin-tagging allowed us to detect and exclude chimeric sequences. The smallest DNA fragment (16S) amplified best for all samples but often at lower taxonomic resolution. We only accepted assignments that were found in both extraction replicates, totalling 174 assignments for 96 samples. To avoid false taxonomic assignments, we also present an approach to create curated reference databases that can be used with the powerful taxonomic-assignment method PROTAX. For some taxonomic groups and some markers, curation resulted in over 50% of sequences being deleted from public reference databases, due mainly to: (1) limited overlap between our target amplicon and available reference sequences; (2) apparent mislabelling of reference sequences; (3) redundancy. A provided bioinformatics pipeline processes amplicons and conducts the PROTAX taxonomic assignment. Our metabarcoding workflow should help research groups to increase the robustness of their results and therefore facilitate wider usage of e/iDNA, which is turning into a valuable source of ecological and conservation information on tetrapods.",892826624,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100570/,Published,100570newversion.xls,6a267fe12247a0cbe7bfd4b959f517d9,2019-02-20,,3,kEiDpoBWKZhLe5Ag,,988,GIGA-D-18-00219,
1850,1586,1614,100552,"Supporting data for ""Nanopore sequencing of long ribosomal DNA amplicons enables portable and simple biodiversity assessments with high phylogenetic resolution across broad taxonomic scale""","In light of the current biodiversity crisis, DNA barcoding is developing into an essential tool to quantify state shifts in global ecosystems. Current barcoding protocols often rely on short amplicon sequences, which yield accurate identification of biological entities in a community, but provide limited phylogenetic resolution across broad taxonomic scales. However, the phylogenetic structure of communities is an essential component of biodiversity. Consequently, a barcoding approach is required that unites robust taxonomic assignment power and high phylogenetic utility. A possible solution is offered by sequencing long ribosomal DNA (rDNA) amplicons on the MinION platform (Oxford Nanopore Technologies).<br> Using a dataset of various animal and plant species, with a focus on arthropods, we assemble a pipeline for long rDNA barcode analysis and introduce a new software (MiniBar) to demultiplex dual indexed nanopore reads. We find excellent phylogenetic and taxonomic resolution offered by long rDNA sequences across broad taxonomic scales. We highlight the simplicity of our approach by field barcoding with a miniaturized, mobile laboratory in a remote rainforest. We also test the utility of long rDNA amplicons for analysis of community diversity through metabarcoding and find that they recover highly skewed diversity estimates.<br>Sequencing dual indexed, long rDNA amplicons on the MinION platform is a straightforward, cost effective, portable and universal approach for eukaryote DNA barcoding. Although bulk community analyses using long-amplicon approaches may introduce biases, the long rDNA amplicons approach signifies a powerful tool for enabling the accurate recovery of taxonomic and phylogenetic diversity across biological communities.",6174476288,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100552/,Published,100552newversion.xls,85448c5a9ba35409e826a32ee8927e03,2019-03-01,,3,nPMTvirlLpWmG47d,,989,GIGA-D-18-00245,
1872,481,1636,100585,"Supporting data for ""Gigwa v2 – Extended and improved genotype investigator""","The study of genetic variations is the basis of many research domains in biology. From genome structure to population dynamics, many applications involve the use of genetic variants. The advent of NGS technologies lead to such a flood of data that the daily work of scientists is often more focused on data management than data analysis. This mass of genotyping data poses several computational challenges in terms of storage, search, sharing, analysis and visualization. While existing tools try to solve these challenges, few of them offer a comprehensive and scalable solution.<br> Gigwa v2 is an easy to use, species-agnostic web application for managing and exploring high density genotyping data. It can handle multiple databases and may be installed on a local computer or deployed as an online data portal. It supports various standard import and export formats, provides advanced filtering options, and offers means to visualize density charts or push selected data into various standalone or online tools. It implements two standard RESTful APIs, GA4GH, which is healthoriented, and BrAPI, which is breeding-oriented, thus offering wide possibilities of interaction with third party applications. The project home page
<a href=""http://www.southgreen.fr/content/gigwa"">http://www.southgreen.fr/content/gigwa</a> provides a list of live instances allowing to test the system on public data (or reasonably-sized user-provided data).<br> This new version of Gigwa provides a more intuitive and more powerful way to explore large amounts of genotyping data by offering a scalable solution to search for genotype patterns, functional annotations, or more complex filtering. Furthermore, its userfriendliness and interoperability make it widely accessible to the life science community.",65154077696,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100585/,Published,100585newversion.xls,385704fe6a62385b2dfb326798d4cb60,2019-04-05,,3,egoNSQqPV3j1TU9t,,38,GIGA-D-18-00476,
1884,1679,1648,100593,"Supporting data for ""A highly predictive signature of cognition and brain atrophy for progression to Alzheimer's dementia""","Clinical trials in Alzheimer’s disease need to enroll patients whose cognition will decline over time, if left untreated, in order to demonstrate the efficacy of an intervention. Machine learning models used to screen for patients at risk of progression to dementia should therefore favor specificity (detecting only progressors) over sensitivity (detecting all progressors), especially when the prevalence of progressors is low. Here, we explore whether such high-risk patients can be identified using cognitive assessments and structural neuroimaging, by training machine learning tools in a high specificity regime. A multimodal signature of Alzheimer's dementia was first extracted from ADNI1. We then validated the predictive value of this signature on ADNI1 patients with mild cognitive impairment (N=235). The signature was optimized to predict progression to dementia over three years with low sensitivity (55.1%) but high specificity (95.6%), resulting in only moderate accuracy (69.3%) but high positive predictive value (80.4%, adjusted for a ""typical"" 33% prevalence rate of true progressors). These results were replicated in ADNI2 (N=235), with 87.8% adjusted positive predictive value (96.7% specificity, 47.3% sensitivity, 85.1% accuracy). We found that cognitive measures alone could identify high-risk individuals, with structural measurements providing a slight improvement. The signature had comparable receiver operating characteristics to standard machine learning tools, yet a marked improvement in positive predictive value was achieved over the literature by selecting a high specificity operating point. The multimodal signature can be readily applied for the enrichment of clinical trials.",12006400,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100593/,Published,100593newversion.xls,b6382c308cc861f64bea0b40974fbc6f,2019-04-19,,3,gK2T1pGrtVb4EBPY,,988,GIGA-D-18-00349,
1887,1687,1652,100599,"Supporting data for ""LION/web: a web-based ontology enrichment tool for lipidomic data analysis""","A major challenge for lipidomic analyses is the handling of the large amounts of data and the translation of results to interpret the involvement of lipids in biological systems. We built a new lipid ontology (LION) that associates over 50,000 lipid species to biophysical, chemical and cell biological features. By making use of enrichment algorithms, we used LION to develop a web-based interface (LION/web, www.lipidontology.com) that allows identification of lipid-associated terms in lipidomes. LION/web was validated by analyzing a lipidomic dataset derived from well-characterized sub-cellular fractions of RAW 264.7 macrophages. Comparison of isolated plasma membranes with the microsomal fraction showed a significant enrichment of relevant LION-terms including ‘plasma membrane’, ‘headgroup with negative charge, ‘glycerophosphoserines’, ‘above average bilayer thickness’, and ‘below average lateral diffusion’. A second validation was performed by analyzing the membrane fluidity of CHO cells incubated with arachidonic acid. An increase in membrane fluidity was observed both experimentally by using pyrene decanoic acid and by using LION/web, showing significant enrichment of terms associated with high membrane fluidity ('above average’, 'very high’ and 'high lateral diffusion’, and 'below average transition temperature’). The results demonstrate the functionality of LION/web, which is freely accessible in a platform-independent way.",174585856,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100599/,Published,100599newversion.xls,1d8533e0f559d5b54c4b0688552d859c,2019-05-01,,3,2EcOCZv6fTKsry3I,,988,GIGA-D-18-00357,
1917,1733,1680,100618,"Supporting data for ""CWL-Airflow: a lightweight pipeline manager supporting Common Workflow Language""","Massive growth in the amount of research data and computational analysis has led to increased utilization of pipeline managers in biomedical computational research. However, each of more than 100 such managers uses its own way to describe pipelines, leading to difficulty porting workflows to different environments and therefore poor reproducibility of computational studies. For this reason, the Common Workflow Language (CWL) was recently introduced as a specification for platform-independent workflow description, and work began to transition existing pipelines and workflow managers to CWL. Here, we present CWL-Airflow, an extension for the Apache Airflow pipeline manager supporting CWL. CWL-Airflow utilizes CWL v1.0 specification and can be used to run workflows on standalone MacOS/Linux servers, on clusters, or on variety cloud platforms. A sample CWL pipeline for processing of ChIP-Seq data is provided. CWL-Airflow will provide users with the features of a fully-fledged pipeline manager and an ability to execute CWL workflows anywhere Airflow can run—from a laptop to cluster or cloud environment.",1073741824,ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100618/,Published,100618newversion.xls,178ee95967dbadefcb57d90dabb1e60c,2019-06-24,,3,GEH2ByKRjWNxUAOk,,988,GIGA-D-19-00044,
